Designator,Comment,Footprint,LCSC Part Number
BT1,Battery,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
"C1, C2",10uF,0603,C19702
D1,GREEN,0603,C965804
D2,RED,0603,C2286
D3,LED,0603,C72041
J1,Conn_01x16,PinHeader_1x16_P2.54mm_Horizontal,
J4,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
R1,1.2k,0603,C22765
R2,10k,0603,C25804
"R3, R4",5.1k,0603,C23186
R5,10k,0603,C25804
S1,SS-3235D-03-L2,SS3235D03L2,C381097
U1,TP4056,SOP127P600X175-9N,C16581